,artist,song_name,song_id,song_popularity,song_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,Måneskin,ZITTI E BUONI,1lWWoec2z1j88GRblI5anV,0.8452380952380952,2021,0.62,0.9440000000000001,4.0,0.9369696969696969,0.0,0.0863,0.0014,0.0,0.733,0.592,0.32557697849265194,audio_features,1lWWoec2z1j88GRblI5anV,spotify:track:1lWWoec2z1j88GRblI5anV,https://api.spotify.com/v1/tracks/1lWWoec2z1j88GRblI5anV,https://api.spotify.com/v1/audio-analysis/1lWWoec2z1j88GRblI5anV,192655.0,4.0,
1,Destiny,Je me casse - Eurovision Official Entry,0NbGUXzlqYkSKlGiduwo84,0.27380952380952384,2021,0.767,0.871,8.0,0.84688995215311,0.0,0.1,0.153,1.27e-06,0.277,0.79,0.38418515704817546,audio_features,0NbGUXzlqYkSKlGiduwo84,spotify:track:0NbGUXzlqYkSKlGiduwo84,https://api.spotify.com/v1/tracks/0NbGUXzlqYkSKlGiduwo84,https://api.spotify.com/v1/audio-analysis/0NbGUXzlqYkSKlGiduwo84,178500.0,4.0,
2,Elena Tsagrinou,El Diablo,4TAttqXwjj56xZQVKvlX0K,0.5119047619047619,2021,0.66,0.664,9.0,0.6372567783094097,0.0,0.134,0.00395,0.0,0.8320000000000001,0.621,0.39742095198176725,audio_features,4TAttqXwjj56xZQVKvlX0K,spotify:track:4TAttqXwjj56xZQVKvlX0K,https://api.spotify.com/v1/tracks/4TAttqXwjj56xZQVKvlX0K,https://api.spotify.com/v1/audio-analysis/4TAttqXwjj56xZQVKvlX0K,181547.0,4.0,
3,Barbara Pravi,Voilà,1uAOCTevGnyKIDbgZdOCnE,0.8095238095238095,2021,0.447,0.337,2.0,0.5807974481658692,0.0,0.0631,0.773,0.0,0.298,0.603,0.5374741309302387,audio_features,1uAOCTevGnyKIDbgZdOCnE,spotify:track:1uAOCTevGnyKIDbgZdOCnE,https://api.spotify.com/v1/tracks/1uAOCTevGnyKIDbgZdOCnE,https://api.spotify.com/v1/audio-analysis/1uAOCTevGnyKIDbgZdOCnE,176816.0,4.0,
4,THE ROOP,Discoteque,7dMOzsTZOUtOF7W5kLN0gf,0.7142857142857143,2021,0.8260000000000001,0.799,5.0,0.743157894736842,1.0,0.0594,0.0477,0.00206,0.125,0.628,0.40403557488277064,audio_features,7dMOzsTZOUtOF7W5kLN0gf,spotify:track:7dMOzsTZOUtOF7W5kLN0gf,https://api.spotify.com/v1/tracks/7dMOzsTZOUtOF7W5kLN0gf,https://api.spotify.com/v1/audio-analysis/7dMOzsTZOUtOF7W5kLN0gf,180522.0,4.0,
5,Tusse,Voices,5zxZ7M4RgWZUHlMEwac8vt,0.7619047619047619,2021,0.503,0.759,10.0,0.8004465709728866,0.0,0.042300000000000004,0.00237,1.06e-06,0.13,0.396,0.24037932570141202,audio_features,5zxZ7M4RgWZUHlMEwac8vt,spotify:track:5zxZ7M4RgWZUHlMEwac8vt,https://api.spotify.com/v1/tracks/5zxZ7M4RgWZUHlMEwac8vt,https://api.spotify.com/v1/audio-analysis/5zxZ7M4RgWZUHlMEwac8vt,184000.0,4.0,
6,Daði Freyr,10 Years,4O0LQKVT6hGmVGNwizmydg,0.7738095238095238,2021,0.798,0.621,2.0,0.6923763955342902,0.0,0.0391,0.014100000000000001,0.000148,0.0926,0.443,0.4566512980378803,audio_features,4O0LQKVT6hGmVGNwizmydg,spotify:track:4O0LQKVT6hGmVGNwizmydg,https://api.spotify.com/v1/tracks/4O0LQKVT6hGmVGNwizmydg,https://api.spotify.com/v1/audio-analysis/4O0LQKVT6hGmVGNwizmydg,166000.0,4.0,
7,Senhit,Adrenalina,5sckZhskSmeF8TFJ05oSCB,0.6547619047619048,2021,0.665,0.886,10.0,0.7652950558213716,0.0,0.082,0.00319,1.22e-06,0.387,0.529,0.33251905797291287,audio_features,5sckZhskSmeF8TFJ05oSCB,spotify:track:5sckZhskSmeF8TFJ05oSCB,https://api.spotify.com/v1/tracks/5sckZhskSmeF8TFJ05oSCB,https://api.spotify.com/v1/audio-analysis/5sckZhskSmeF8TFJ05oSCB,179787.0,4.0,
8,Eden Alene,Set Me Free,76TRCnbYfo9GU5DPsZ1uI9,0.6785714285714286,2021,0.752,0.664,1.0,0.6620095693779904,0.0,0.0775,0.28,0.0,0.10200000000000001,0.468,0.3517473083069185,audio_features,76TRCnbYfo9GU5DPsZ1uI9,spotify:track:76TRCnbYfo9GU5DPsZ1uI9,https://api.spotify.com/v1/tracks/76TRCnbYfo9GU5DPsZ1uI9,https://api.spotify.com/v1/audio-analysis/76TRCnbYfo9GU5DPsZ1uI9,179439.0,4.0,
9,Gjon's Tears,Tout l'univers,3MvY2XbGYFi6p2dgmdcOYG,0.7619047619047619,2021,0.534,0.365,9.0,0.5474960127591706,0.0,0.033,0.81,2.52e-06,0.158,0.23700000000000002,0.4594543263563252,audio_features,3MvY2XbGYFi6p2dgmdcOYG,spotify:track:3MvY2XbGYFi6p2dgmdcOYG,https://api.spotify.com/v1/tracks/3MvY2XbGYFi6p2dgmdcOYG,https://api.spotify.com/v1/audio-analysis/3MvY2XbGYFi6p2dgmdcOYG,183707.0,4.0,
10,Stefania,Last Dance,0x4GMUtMeZAbti9fhDQnhj,0.6785714285714286,2021,0.533,0.91,2.0,0.8448484848484848,0.0,0.043500000000000004,0.0213,0.0,0.0699,0.393,0.612723652843633,audio_features,0x4GMUtMeZAbti9fhDQnhj,spotify:track:0x4GMUtMeZAbti9fhDQnhj,https://api.spotify.com/v1/tracks/0x4GMUtMeZAbti9fhDQnhj,https://api.spotify.com/v1/audio-analysis/0x4GMUtMeZAbti9fhDQnhj,180000.0,4.0,
11,James Newman,Embers,5Dmq7XPXXcATuJnSOj8UrT,0.6547619047619048,2021,0.678,0.8190000000000001,6.0,0.8371929824561403,1.0,0.0577,0.00283,2.67e-06,0.112,0.722,0.47584025358237514,audio_features,5Dmq7XPXXcATuJnSOj8UrT,spotify:track:5Dmq7XPXXcATuJnSOj8UrT,https://api.spotify.com/v1/tracks/5Dmq7XPXXcATuJnSOj8UrT,https://api.spotify.com/v1/audio-analysis/5Dmq7XPXXcATuJnSOj8UrT,175914.0,4.0,
12,Efendi,Mata Hari,3wuvVwA5RaifHz1uqKac8P,0.7261904761904762,2021,0.706,0.675,4.0,0.7663795853269537,0.0,0.0386,0.0128,0.000355,0.263,0.463,0.305392554947214,audio_features,3wuvVwA5RaifHz1uqKac8P,spotify:track:3wuvVwA5RaifHz1uqKac8P,https://api.spotify.com/v1/tracks/3wuvVwA5RaifHz1uqKac8P,https://api.spotify.com/v1/audio-analysis/3wuvVwA5RaifHz1uqKac8P,160981.0,4.0,
