,artist,song_name,song_popularity,song_year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Måneskin,ZITTI E BUONI,0.8452380952380952,2021,0.62,0.9440000000000001,0.9369696969696969,0.0,0.0863,0.0014,0.0,0.733,0.592,0.32557697849265194,192655.0,4.0
87,Duncan Laurence,Arcade,1.0,2019,0.45,0.329,0.32956937799043057,0.0,0.0441,0.8180000000000001,0.00109,0.135,0.266,0.12163702093102456,183624.0,3.0
124,Netta,Toy - Music Video Version,0.5833333333333334,2018,0.56,0.746,0.7901116427432217,0.0,0.111,0.1,0.0,0.321,0.743,0.5024886700023578,180231.0,4.0
167,Salvador Sobral,Amar Pelos Dois,0.6309523809523809,2017,0.215,0.0952,0.0,1.0,0.0358,0.853,0.004260000000000001,0.261,0.16,0.7818418777670082,185080.0,3.0
209,Jamala,1944,0.6190476190476191,2016,0.809,0.506,0.7996172248803828,1.0,0.0565,0.596,0.007280000000000001,0.24,0.47000000000000003,0.43683362586121083,180840.0,4.0
245,Måns Zelmerlöw,Heroes,0.7142857142857143,2015,0.484,0.791,0.8611802232854864,1.0,0.0437,0.0743,0.0,0.049100000000000005,0.369,0.46300395567547753,190613.0,4.0
279,Conchita Wurst,Rise Like A Phoenix,0.5833333333333334,2014,0.426,0.45,0.5651674641148324,0.0,0.0252,0.0791,0.0,0.127,0.20800000000000002,0.18858879312603152,181990.0,4.0
310,Emmelie de Forest,Only Teardrops,0.6309523809523809,2013,0.561,0.844,0.8414035087719298,1.0,0.063,0.0945,0.0,0.22,0.446,0.37760327980509795,183240.0,4.0
345,Loreen,Euphoria,0.7619047619047619,2012,0.518,0.679,0.7887081339712919,0.0,0.035500000000000004,0.079,4.85e-05,0.058800000000000005,0.106,0.5163007885154428,214133.0,4.0
381,Nikki Jamal,Running scared (feat. Ell),0.44047619047619047,2011,0.325,0.7020000000000001,0.9066666666666666,1.0,0.0327,0.0238,2.72e-06,0.36,0.23900000000000002,0.7775783931050743,181577.0,4.0
415,Lena,Satellite,0.7619047619047619,2010,0.68,0.857,0.8407017543859648,0.0,0.23800000000000002,0.20400000000000001,0.0,0.0414,0.924,0.27255520917926285,175507.0,4.0
